team,goal,shots,yc,rc,poss,pass,aerials,rating
Manchester City,83,15.8,46,2,60.8,89.4,12.8,7.01
Bayern Munich,99,17.1,44,3,58.1,85.5,12.9,6.95
Paris Saint-Germain,86,15,73,7,60.1,89.5,9.5,6.88
Barcelona,85,15.3,68,2,62.4,89.7,10.6,6.87
Real Madrid,67,14.4,57,2,57.7,87.7,11.8,6.86
Manchester United,73,13.8,64,1,54.5,84.8,14.5,6.85
Juventus,77,15.7,76,6,55.4,88.3,11.4,6.85
Aston Villa,55,13.7,63,4,49.1,78.6,19.4,6.84
Borussia Dortmund,75,14.6,43,1,57.5,85.5,12.8,6.84
Atletico Madrid,67,12.1,100,0,51.8,83.1,14.4,6.84
Atalanta,90,16.3,66,3,53.5,83.5,16.8,6.84
Chelsea,58,14.6,49,3,58.6,87,15.2,6.83
Liverpool,68,16,40,0,59,85.7,14.3,6.82
AC Milan,74,14.7,80,4,51.4,84,15.2,6.82
Lille,64,12.8,67,2,52.6,83.5,15.8,6.82
Tottenham,68,11.7,53,2,51.3,81.8,16.4,6.81
Napoli,86,17,71,3,54.1,87,11.1,6.81
Leicester,68,12.8,61,0,53.2,82.1,16.2,6.8
Wolfsburg,61,14.1,56,3,51,78,16.9,6.8
Inter,89,14.5,59,2,52,87,11.8,6.8
Lyon,81,16.1,60,10,53.6,84.7,14.3,6.8
RB Leipzig,60,16,57,0,57.3,83.2,18.6,6.78
Leeds,62,13.7,61,1,55.1,80.8,14.5,6.77
West Ham,62,12.3,48,3,44.5,77.8,19.9,6.77
Everton,47,10.5,59,2,47.3,81.4,17.7,6.73
Bayer Leverkusen,53,13,58,0,57.3,84.4,13.1,6.73
Eintracht Frankfurt,69,13.2,80,1,52.4,79.6,17.9,6.73
Monaco,76,12.8,74,7,54.2,82.7,16.5,6.73
Roma,68,14.3,84,3,51.5,84.5,12.1,6.71
Sevilla,53,12.1,75,2,58.7,86.2,16.6,6.7
Borussia M.Gladbach,64,13.4,61,2,51.5,82,15.3,6.7
Arsenal,55,12.1,47,5,52.7,85,13.5,6.69
Rennes,52,13.5,80,5,56.8,85.6,16.9,6.69
VfB Stuttgart,56,13.4,63,2,51.5,81.1,16.3,6.68
Wolverhampton Wanderers,36,12.2,53,1,49.7,83.2,15.3,6.67
Sassuolo,64,13.9,74,4,58.2,87.8,10.9,6.67
Metz,44,11.5,82,4,46.9,79.8,16.1,6.66
Villarreal,60,10.7,65,5,54.3,84.4,13,6.66
Real Sociedad,59,11.3,81,1,53.7,80.8,17.9,6.65
Brighton,40,12.8,45,6,50.7,81.3,14.2,6.65
Real Betis,50,11.7,87,8,52.9,82,16.4,6.64
Burnley,33,10.1,48,0,43.5,71.6,23.4,6.64
Lens,55,11.7,84,7,51.1,81.8,17.4,6.64
Brest,50,11.8,60,4,49.4,81.3,18.6,6.64
Fulham,27,11.6,67,3,50,81.2,17.2,6.63
Marseille,54,10,94,9,52.4,82,14.9,6.63
Sampdoria,52,11.3,81,3,46.1,78.5,16.8,6.63
Montpellier,60,12.2,65,7,46.4,78.8,17.9,6.63
Nice,50,10.8,69,4,53.4,85.6,10.5,6.63
Hoffenheim,52,12.6,65,4,50.8,80.7,15.7,6.63
Southampton,47,11.2,52,3,51.4,79.3,14.1,6.62
Newcastle United,46,10.4,61,3,41.6,76,17.1,6.62
Lazio,61,13.8,100,5,52.2,83.8,14.6,6.62
Nantes,47,10.8,68,4,45.2,77,18.1,6.62
Union Berlin,50,11.7,55,2,45.9,76.2,17.6,6.62
Strasbourg,49,11.3,56,3,46.5,78.3,18.3,6.61
Crystal Palace,41,9.2,54,2,42.9,76.1,18.3,6.61
Freiburg,52,11.4,63,0,47.5,78.1,17.5,6.6
Valencia,50,10.3,77,5,47.9,79.4,16.3,6.6
Celta Vigo,55,9.4,104,5,52,79.9,16.5,6.6
Reims,42,9.6,75,8,46.3,80.7,13.4,6.6
Torino,50,12.2,72,4,48,80.5,16.1,6.59
Verona,43,10.6,91,1,49.6,76.3,20.6,6.59
Saint-Etienne,42,11.6,76,2,49,79.3,16.4,6.59
Bordeaux,42,11.1,74,4,50.2,83.3,15.4,6.59
Hertha Berlin,41,11.3,63,3,49.8,79.5,15.8,6.58
Cagliari,43,11.4,73,3,45.8,79.8,17.2,6.58
Mainz 05,39,11.1,61,1,42.7,71.3,18.3,6.57
Bologna,51,13.1,78,4,50.7,81.5,15.1,6.56
Augsburg,36,9.9,65,4,44,73.6,16.8,6.56
Udinese,42,10.9,63,2,47.2,82.5,13.1,6.55
SD Huesca,34,10.7,68,2,48.7,79.8,15.7,6.55
Athletic Bilbao,46,10.6,81,3,49.4,78.5,17.9,6.54
Osasuna,37,9.8,74,5,44.6,70.2,26.8,6.54
Lorient,50,11.2,67,3,45.9,78.8,13.7,6.54
Genoa,47,9,85,2,46.1,79.7,13.7,6.54
Arminia Bielefeld,26,9.8,52,1,44.1,74.6,22.2,6.53
Angers,40,10.7,63,2,47.1,81.3,13.2,6.53
Eibar,29,11.9,67,3,49.2,72.6,24.4,6.53
Werder Bremen,36,10.6,63,3,45.2,76.2,18.3,6.52
Fiorentina,47,9.8,86,5,46.8,81,14.2,6.52
Nimes,40,10.3,57,5,45.8,77.5,14,6.52
West Bromwich Albion,35,8.9,51,4,41,72.2,19.1,6.51
FC Koln,34,10.6,62,1,47.1,77.3,18.5,6.51
Deportivo Alaves,36,9.1,87,8,44.6,72.9,22.6,6.5
Levante,46,10.1,70,1,51.5,80.1,12.2,6.5
Spezia,52,10.2,92,5,51.6,81.1,14.4,6.5
Getafe,28,9.5,117,7,44.4,66.5,22.8,6.49
Parma Calcio 1913,39,10.4,91,1,48.4,82.5,16.9,6.49
Elche,34,7.1,95,3,48.1,81.5,13.2,6.48
Granada,47,9.4,96,6,43.4,70,18.3,6.47
Cadiz,36,8,77,3,38.5,68.8,18.5,6.47
Real Valladolid,34,9.7,93,4,46.2,74.8,17.1,6.46
Sheffield United,20,8.5,73,3,43,76.9,19.1,6.46
Crotone,45,9.5,85,4,47.2,80.4,12.7,6.43
Benevento,40,11,90,5,44.2,77.7,13.4,6.43
Dijon,25,9.2,75,5,46.9,80,14.3,6.42
Schalke 04,25,8.9,70,2,46.2,76.5,15.6,6.41
